customer_id,snapshot_date,churn_90d
C15359,2024-05-27,0
C05365,2024-10-07,0
C11359,2025-10-06,0
C00010,2025-07-21,0
C17894,2025-04-07,0
C08564,2024-02-05,0
C13862,2024-07-29,0
C16394,2024-08-05,1
C12733,2025-04-14,0
C04966,2025-05-05,0
C09054,2025-03-03,0
C16913,2025-06-02,0
C02781,2025-04-28,0
C03349,2025-06-16,0
C17991,2025-05-12,0
C15799,2025-05-12,0
C10384,2025-05-26,0
C09176,2025-08-18,0
C10187,2025-08-18,0
C06542,2024-03-18,1
C13870,2025-07-14,0
C11255,2025-09-01,0
C00503,2025-04-28,0
C07718,2025-05-19,1
C03397,2024-08-05,0
C08189,2025-09-01,0
C18104,2025-08-25,0
C04700,2024-12-16,0
C04041,2024-04-22,0
C09569,2025-08-25,0
C06722,2025-05-26,0
C03865,2024-02-26,0
C14199,2025-06-23,0
C02013,2025-03-03,0
C15031,2025-07-21,0
C08519,2025-10-06,0
C16031,2025-01-13,0
C19613,2025-04-21,0
C10974,2025-01-13,0
C09244,2024-03-11,0
C05510,2025-03-10,0
C04601,2024-09-23,0
C02323,2024-04-29,0
C05773,2025-06-02,0
C12471,2025-07-28,0
C17303,2025-04-14,0
C05880,2024-09-30,0
C15323,2025-04-14,0
C01745,2024-08-12,0
C05689,2025-02-03,0
C04742,2024-09-02,0
C15093,2025-04-21,0
C00939,2025-06-30,0
C18102,2025-01-13,0
C04299,2024-04-22,0
C01958,2025-03-31,0
C03991,2025-07-21,0
C14511,2024-04-15,0
C11391,2025-08-11,0
C02453,2025-07-14,0
C03350,2024-07-22,0
C05296,2025-07-07,0
C03522,2024-11-25,0
C18542,2025-04-14,0
C19243,2024-12-23,0
C05908,2025-07-21,0
C13388,2025-07-14,0
C02998,2024-11-04,0
C03251,2025-02-24,0
C00374,2025-01-20,0
C03470,2025-05-19,0
C15407,2024-12-02,0
C06738,2025-09-15,0
C11522,2025-02-10,0
C03702,2025-06-23,0
C01225,2025-06-30,0
C15508,2024-12-23,0
C09922,2025-08-18,0
C14478,2025-08-25,0
C19970,2024-12-23,0
C02204,2025-04-21,0
C08916,2024-06-10,0
C12759,2025-09-29,0
C03008,2025-08-18,0
C18706,2025-06-30,0
C14845,2024-11-04,0
C18635,2024-11-04,0
C18864,2025-07-07,0
C05449,2025-07-28,0
C16963,2025-06-16,0
C03930,2025-07-14,0
C15478,2024-07-22,0
C06563,2024-09-09,0
C02348,2024-05-13,0
C17437,2025-07-28,0
C11050,2024-12-16,0
C12935,2024-11-25,0
C19703,2025-06-23,0
C13812,2024-12-09,0
C12363,2025-06-09,0
C02328,2025-04-14,0
C00866,2024-02-12,0
C05550,2025-07-07,0
C14995,2024-06-03,0
C13095,2024-09-09,1
C06382,2025-05-26,0
C00235,2025-05-19,0
C15433,2025-09-29,0
C04406,2024-05-27,0
C12492,2024-10-21,0
C05003,2025-05-12,0
C08833,2024-05-13,0
C13867,2025-08-25,1
C04089,2025-09-22,0
C00129,2025-07-07,0
C00453,2024-11-18,0
C06222,2025-04-14,0
C08445,2025-05-19,0
C00694,2025-09-29,0
C13149,2024-05-06,0
C16293,2024-08-26,0
C10011,2025-09-08,0
C12714,2025-05-19,0
C06776,2025-07-07,0
C06678,2024-09-09,0
C07249,2025-04-07,0
C17532,2024-04-22,0
C14173,2025-01-13,0
C04455,2025-05-12,0
C05152,2024-07-29,0
C11487,2025-03-31,0
C16215,2024-12-30,0
C07841,2024-09-02,0
C09735,2024-10-07,0
C06155,2025-09-15,0
C12036,2025-06-16,0
C14534,2024-07-08,1
C04137,2024-09-30,0
C14934,2025-07-21,0
C14456,2024-12-02,0
C13540,2025-02-17,0
C10641,2024-10-14,0
C09017,2025-05-26,0
C19260,2025-07-21,0
C02150,2024-06-24,0
C16414,2025-09-29,0
C11268,2024-12-23,1
C09773,2025-06-23,0
