customer_id,contract_id,churn_date,churn_reason,churn_probability,health_score_at_churn,behaviour_at_churn
C05271,CT005271,2025-11-07,Poor Customer Experience,0.0007,83.21,Stable
C13950,CT013950,2025-09-18,Poor Customer Experience,0.0119,48.74,Declining
C01987,CT001987,2024-05-21,Business / Budget Constraints,0.0015,80.09,Stable
C12418,CT012418,2025-12-24,Poor Customer Experience,0.106,5.3,Rapidly Declining
C12467,CT012467,2024-04-24,Contract / Renewal Decision,0.0022,67.8,Stable
C16713,CT016713,2025-09-02,Contract / Renewal Decision,0.0032,62.94,Stable
C18821,CT018821,2025-12-13,Low Product Engagement,0.0108,38.49,Declining
C07742,CT007742,2024-12-12,Low Product Engagement,0.0081,58.61,Declining
C16212,CT016212,2025-04-02,Contract / Renewal Decision,0.0078,48.82,Stable
C03107,CT003107,2025-10-25,Product / Technical Issues,0.0136,38.86,Declining
C18748,CT018748,2024-10-29,Low Product Engagement,0.0448,0.0,Rapidly Declining
C06367,CT006367,2025-07-18,Low Product Engagement,0.0657,25.12,Rapidly Declining
C10151,CT010151,2025-07-13,Low Product Engagement,0.0553,0.0,Rapidly Declining
C08182,CT008182,2025-04-16,Poor Customer Experience,0.0325,20.79,Declining
C16534,CT016534,2025-10-24,Lack of Required Features,0.0137,38.95,Declining
C15766,CT015766,2025-03-24,Business / Budget Constraints,0.0767,4.05,Rapidly Declining
C07412,CT007412,2025-01-03,Low Product Engagement,0.01,41.06,Declining
C04706,CT004706,2025-10-08,Low Product Engagement,0.0186,21.81,Declining
C14355,CT014355,2025-06-25,Business / Budget Constraints,0.0067,28.64,Declining
C14119,CT014119,2025-12-03,Low Product Engagement,0.0196,31.82,Declining
C02060,CT002060,2025-11-19,Poor Customer Experience,0.0127,41.79,Stable
C02932,CT002932,2024-11-22,Poor Customer Experience,0.002,72.06,Stable
C17958,CT017958,2025-09-04,Poor Customer Experience,0.0079,25.19,Declining
C05494,CT005494,2025-08-28,Lack of Required Features,0.0198,46.24,Declining
C17245,CT017245,2025-02-22,Contract / Renewal Decision,0.0239,16.67,Rapidly Declining
C12964,CT012964,2024-07-26,Contract / Renewal Decision,0.003,40.58,Stable
C12057,CT012057,2024-08-28,Poor Customer Experience,0.0046,77.61,Stable
C18718,CT018718,2025-03-07,Poor Customer Experience,0.0227,44.07,Declining
C12430,CT012430,2024-08-03,Low Product Engagement,0.0175,51.83,Declining
C19634,CT019634,2025-09-04,Business / Budget Constraints,0.0076,54.96,Declining
C02919,CT002919,2025-07-11,Contract / Renewal Decision,0.0233,0.0,Declining
C09491,CT009491,2024-11-01,Low Product Engagement,0.0017,84.33,Stable
C10171,CT010171,2025-07-14,Product / Technical Issues,0.0238,43.99,Declining
C11653,CT011653,2025-10-10,Contract / Renewal Decision,0.0089,38.84,Declining
C04818,CT004818,2024-07-29,Business / Budget Constraints,0.0496,30.41,Rapidly Declining
C10825,CT010825,2024-08-13,Contract / Renewal Decision,0.0141,54.51,Declining
C11515,CT011515,2025-01-28,Product / Technical Issues,0.0955,12.53,Rapidly Declining
C09068,CT009068,2025-10-11,Low Product Engagement,0.0337,22.41,Rapidly Declining
C07054,CT007054,2025-08-04,Poor Customer Experience,0.0421,23.2,Rapidly Declining
C11667,CT011667,2025-10-27,Low Product Engagement,0.0264,12.14,Rapidly Declining
C06515,CT006515,2025-09-17,Poor Customer Experience,0.0061,52.55,Stable
C18056,CT018056,2024-11-04,Poor Customer Experience,0.0361,27.83,Rapidly Declining
C04276,CT004276,2024-12-10,Business / Budget Constraints,0.0333,31.06,Rapidly Declining
C01603,CT001603,2025-04-10,Low Product Engagement,0.0069,55.06,Declining
C12528,CT012528,2024-10-23,Low Product Engagement,0.0057,61.76,Stable
C18537,CT018537,2025-12-10,Poor Customer Experience,0.0774,17.41,Rapidly Declining
C19177,CT019177,2025-12-14,Poor Customer Experience,0.0009,96.76,Stable
C02057,CT002057,2025-04-02,Low Product Engagement,0.0063,42.11,Declining
C05899,CT005899,2024-12-13,Low Product Engagement,0.0248,52.21,Declining
C00345,CT000345,2025-09-02,Low Product Engagement,0.0087,45.71,Declining
C18972,CT018972,2024-09-26,Poor Customer Experience,0.05,44.66,Rapidly Declining
C16966,CT016966,2025-05-10,Product / Technical Issues,0.0017,65.81,Stable
C14579,CT014579,2026-01-05,Low Product Engagement,0.0421,6.71,Declining
C17500,CT017500,2025-11-12,Low Product Engagement,0.0016,85.64,Stable
C18019,CT018019,2024-07-10,Lack of Required Features,0.0122,44.05,Rapidly Declining
C15029,CT015029,2025-02-28,Contract / Renewal Decision,0.0022,62.53,Stable
C07775,CT007775,2025-05-17,Poor Customer Experience,0.0018,92.47,Improving
C16163,CT016163,2025-09-10,Product / Technical Issues,0.0116,36.99,Declining
C15466,CT015466,2025-04-16,Low Product Engagement,0.0165,30.6,Declining
C04594,CT004594,2025-09-08,Low Product Engagement,0.0237,21.47,Declining
C11343,CT011343,2025-08-07,Low Product Engagement,0.0029,69.12,Stable
