customer_id,snapshot_date,churn_90d,industry,region,segment,company_size,acquisition_channel,tenure_days,tenure_years,health_score,baseline_health,health_trend,volatility,behaviour,health_score_change_4w,health_score_change_8w,health_score_change_12w,health_score_pct_change_4w,health_score_pct_change_8w,health_score_pct_change_12w,active_users,sessions,active_days,usage_minutes,features_used,p001_sessions,p002_sessions,p003_sessions,p004_sessions,p005_sessions,active_users_change_4w,active_users_change_8w,active_users_change_12w,sessions_change_4w,sessions_change_8w,sessions_change_12w,usage_minutes_change_4w,usage_minutes_change_8w,usage_minutes_change_12w,active_days_change_4w,active_days_change_8w,active_days_change_12w,features_used_change_4w,features_used_change_8w,features_used_change_12w,active_users_pct_change_4w,active_users_pct_change_8w,active_users_pct_change_12w,sessions_pct_change_4w,sessions_pct_change_8w,sessions_pct_change_12w,usage_minutes_pct_change_4w,usage_minutes_pct_change_8w,usage_minutes_pct_change_12w,active_days_pct_change_4w,active_days_pct_change_8w,active_days_pct_change_12w,features_used_pct_change_4w,features_used_pct_change_8w,features_used_pct_change_12w,usage_decline_4w_flag,usage_decline_12w_flag,severe_usage_decline_12w_flag,product_count,tickets_4w,escalations_4w,reopens_4w,critical_tickets_4w,high_priority_tickets_4w,avg_csat_4w,avg_resolution_hours_4w,tickets_8w,escalations_8w,reopens_8w,critical_tickets_8w,high_priority_tickets_8w,avg_csat_8w,avg_resolution_hours_8w,tickets_12w,escalations_12w,reopens_12w,critical_tickets_12w,high_priority_tickets_12w,avg_csat_12w,avg_resolution_hours_12w,high_support_burden_12w,high_escalation_12w,low_csat_12w,slow_resolution_12w,contract_id,contract_active,annual_contract_value,total_contract_value,contract_type,auto_renew,contract_age_days,days_to_renewal,renewal_within_30d,renewal_within_90d,renewal_within_180d
C15359,2024-05-27,0,Manufacturing,Europe,Mid-Market,1515,Direct Sales,111,0.30390143737166325,58.71,53.71,0.0089,0.5012,Stable,0.240000000000002,0.45000000000000284,1.3900000000000006,0.004104669061056987,0.007723995880535579,0.024249825540823458,207,1218,6,25490,3,673,0,334,0,211,-5.0,-18.0,-15.0,156.0,-73.0,13.0,4297.0,2144.0,1660.0,2.0,-1.0,-1.0,0.0,0.0,0.0,-0.02358490566037736,-0.08,-0.06756756756756757,0.14689265536723164,-0.056545313710302095,0.010788381742738589,0.20275562685792478,0.0918358605328536,0.06966009232060429,0.5,-0.14285714285714285,-0.14285714285714285,0.0,0.0,0.0,0,0,0,3,1.0,1.0,0.0,0.0,0.0,3.0,84.97,2.0,1.0,0.0,0.0,0.0,3.5,71.235,2.0,1.0,0.0,0.0,0.0,3.5,71.23499999999999,0,0,0,1,CT015359,1,4264123.07,4264123.07,Annual,True,111.0,254.0,0,0,0
C05365,2024-10-07,0,Telecommunications,Europe,Enterprise,2001,Enterprise Sales,168,0.459958932238193,91.29,77.92,0.0419,0.7623,Stable,-0.14000000000000057,1.190000000000012,4.730000000000004,-0.0015312260745925907,0.013207547169811455,0.05464417744916825,585,4306,5,76127,3,2117,1105,1084,0,0,-5.0,46.0,114.0,2.0,449.0,907.0,-4054.0,-98.0,15229.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,-0.00847457627118644,0.08534322820037106,0.24203821656050956,0.00046468401486988845,0.1164117189525538,0.26684318917328625,-0.05056060662750527,-0.0012856674319448999,0.2500738940523498,-0.16666666666666666,-0.2857142857142857,-0.16666666666666666,0.0,0.0,0.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT005365,1,20092639.18,40185278.36,Two-year,True,168.0,562.0,0,0,0
C11359,2025-10-06,0,Financial Services,APAC,SMB,132,Inbound,337,0.9226557152635181,100.0,62.83,0.3332,1.0717,Improving,2.019999999999996,1.7900000000000063,2.2900000000000063,0.020616452337211634,0.018226249872721784,0.023436700440077847,27,129,6,2123,2,95,0,0,34,0,0.0,0.0,1.0,-11.0,-19.0,-8.0,-152.0,-558.0,-158.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,-0.07857142857142857,-0.12837837837837837,-0.058394160583941604,-0.06681318681318682,-0.2081312942931742,-0.06926786497150372,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,4.0,176.4,0,0,0,1,CT011359,1,305450.68,610901.36,Two-year,True,337.0,393.0,0,0,0
C00010,2025-07-21,0,Financial Services,APAC,SMB,249,Referral,67,0.1834360027378508,90.17,66.47,0.2208,1.0423,Improving,1.2900000000000063,0.37000000000000455,-1.0499999999999972,0.014513951395139585,0.004120267260579115,-0.011510633632975194,54,264,6,4422,2,194,0,0,70,0,-1.0,-7.0,54.0,-14.0,-77.0,264.0,-1380.0,-1460.0,4422.0,-1.0,0.0,6.0,0.0,0.0,2.0,-0.01818181818181818,-0.11475409836065574,,-0.050359712230215826,-0.22580645161290322,,-0.2378490175801448,-0.24821489289357362,,-0.14285714285714285,0.0,,0.0,0.0,,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT000010,1,200000.0,200000.0,Annual,True,67.0,298.0,0,0,0
C17894,2025-04-07,0,Logistics,Europe,SMB,99,Direct Sales,84,0.2299794661190965,81.14,63.6,0.2517,1.1742,Improving,-1.4599999999999937,-1.480000000000004,0.45999999999999375,-0.01767554479418879,-0.017913338174776132,0.005701536936043551,31,191,7,3248,2,128,63,0,0,0,-1.0,0.0,31.0,56.0,21.0,191.0,566.0,572.0,3248.0,2.0,0.0,7.0,0.0,0.0,2.0,-0.03125,0.0,,0.4148148148148148,0.12352941176470589,,0.2110365398956003,0.21375186846038863,,0.4,0.0,,0.0,0.0,,0,0,0,2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,4.0,13.64,0,0,0,0,CT017894,1,1500000.0,1500000.0,Annual,False,84.0,281.0,0,0,0
C08564,2024-02-05,0,Logistics,Middle East,SMB,111,Direct Sales,22,0.06023271731690623,71.0,77.12,-0.0504,0.5309,Stable,1.4300000000000068,0.7800000000000011,-0.9300000000000068,0.02055483685496632,0.011107946454001726,-0.01292923675795922,22,127,6,2380,3,53,42,0,32,0,22.0,22.0,22.0,127.0,127.0,127.0,2380.0,2380.0,2380.0,6.0,6.0,6.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,0,0,0,3,2.0,0.0,0.0,0.0,1.0,3.5,35.9,2.0,0.0,0.0,0.0,1.0,3.5,35.9,2.0,0.0,0.0,0.0,1.0,3.5,35.9,0,0,0,0,CT008564,1,691630.83,691630.83,Annual,True,22.0,343.0,0,0,0
C13862,2024-07-29,0,Technology,Europe,Mid-Market,773,Referral,48,0.13141683778234087,74.7,81.01,0.0005,0.8842,Stable,-0.5799999999999983,-1.8499999999999943,-1.3999999999999915,-0.007704569606801252,-0.024167210973220044,-0.018396846254927615,241,1882,7,36441,4,787,411,370,314,0,-8.0,241.0,241.0,-123.0,1882.0,1882.0,-205.0,36441.0,36441.0,1.0,7.0,7.0,0.0,4.0,4.0,-0.0321285140562249,,,-0.06134663341645885,,,-0.00559406210773345,,,0.16666666666666666,,,0.0,,,0,0,0,4,1.0,0.0,0.0,0.0,0.0,4.0,28.28,3.0,0.0,0.0,0.0,0.0,4.0,45.03,3.0,0.0,0.0,0.0,0.0,4.0,45.03,0,0,0,0,CT013862,1,6177769.75,12355539.5,Two-year,True,48.0,682.0,0,0,0
C16394,2024-08-05,1,Technology,North America,Enterprise,2955,Direct Sales,84,0.2299794661190965,25.56,71.72,-0.5077,0.9646,Rapidly Declining,-2.9200000000000017,-2.9299999999999997,-3.0199999999999996,-0.1025280898876405,-0.10284310284310284,-0.10566829951014695,81,331,7,6350,2,217,114,0,0,0,-8.0,-8.0,81.0,-12.0,-17.0,331.0,464.0,232.0,6350.0,2.0,0.0,7.0,0.0,0.0,2.0,-0.0898876404494382,-0.0898876404494382,,-0.03498542274052478,-0.04885057471264368,,0.07883112470268433,0.03792088917947042,,0.4,0.0,,0.0,0.0,,0,0,0,2,2.0,2.0,0.0,1.0,1.0,3.5,7.8100000000000005,4.0,3.0,0.0,1.0,2.0,3.25,33.3275,6.0,3.0,0.0,1.0,4.0,3.5,28.698333333333334,0,1,0,0,CT016394,1,7500000.0,7500000.0,Annual,True,84.0,281.0,0,0,0
C12733,2025-04-14,0,Professional Services,APAC,SMB,189,Partner,135,0.36960985626283366,46.18,60.1,-0.0303,1.0546,Stable,-0.7100000000000009,-0.75,1.0200000000000031,-0.01514182128385585,-0.015981248668229277,0.02258635961027465,9,23,3,325,1,23,0,0,0,0,0.0,0.0,0.0,-8.0,-14.0,4.0,-306.0,-355.0,-54.0,-2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25806451612903225,-0.3783783783783784,0.21052631578947367,-0.4849445324881141,-0.5220588235294118,-0.1424802110817942,-0.4,-0.4,0.5,0.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT012733,1,278782.97,278782.97,Annual,True,135.0,230.0,0,0,0
C04966,2025-05-05,0,Manufacturing,APAC,SMB,59,Enterprise Sales,308,0.8432580424366872,100.0,76.26,0.3037,0.7986,Improving,1.9399999999999977,0.480000000000004,0.0,0.019783805833163345,0.0048231511254019695,0.0,10,34,5,739,1,34,0,0,0,0,1.0,0.0,1.0,-3.0,5.0,-4.0,31.0,223.0,114.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,-0.08108108108108109,0.1724137931034483,-0.10526315789473684,0.043785310734463276,0.4321705426356589,0.1824,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT004966,1,430796.56,861593.12,Two-year,True,308.0,422.0,0,0,0
C09054,2025-03-03,0,Financial Services,Europe,Mid-Market,893,Inbound,363,0.9938398357289527,69.34,79.68,0.0259,1.0646,Stable,-2.0,-2.280000000000001,-2.8599999999999994,-0.02803476310625175,-0.03183468304942755,-0.03961218836565096,187,1497,6,27947,4,665,317,344,0,171,-2.0,8.0,16.0,67.0,157.0,210.0,-2771.0,87.0,4037.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.010582010582010581,0.0446927374301676,0.0935672514619883,0.04685314685314685,0.11716417910447761,0.16317016317016317,-0.09020769581352953,0.00312275664034458,0.16884148891677123,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1.0,0.0,0.0,0.0,0.0,4.0,33.35,2.0,0.0,0.0,0.0,1.0,4.0,25.560000000000002,4.0,0.0,0.0,0.0,2.0,3.75,26.6075,0,0,0,0,CT009054,1,2076365.77,4152731.54,Two-year,False,363.0,367.0,0,0,0
C16913,2025-06-02,0,Technology,Europe,SMB,115,Direct Sales,225,0.6160164271047228,65.82,75.45,-0.0279,0.49,Stable,-0.8700000000000045,-2.700000000000003,-3.4000000000000057,-0.013045434098065746,-0.03940455341506134,-0.049118751805836545,13,39,5,675,2,30,0,0,9,0,0.0,0.0,-1.0,-32.0,-24.0,-12.0,-570.0,-309.0,-359.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.07142857142857142,-0.4507042253521127,-0.38095238095238093,-0.23529411764705882,-0.4578313253012048,-0.31402439024390244,-0.3471953578336557,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.0,0.0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,CT016913,1,200000.0,200000.0,Annual,False,225.0,140.0,0,0,1
