ticket_id,customer_id,created_at,resolved_at,issue_category,priority,channel,resolution_hours,reopened,csat_score,escalated
TKT00021783,C03663,2024-12-31 13:00:00,2025-01-01 19:05:24.000000000,Performance,Medium,Chat,30.09,False,4,False
TKT00038443,C06570,2025-12-26 17:02:00,2025-12-27 11:43:24.000000000,Performance,Medium,Chat,18.69,False,4,False
TKT00045109,C07791,2025-03-30 17:29:00,2025-03-31 13:08:00.000000000,Performance,High,Chat,19.65,False,4,False
TKT00034352,C05813,2024-08-21 15:11:00,2024-08-21 20:48:12.000000000,Training / Onboarding,Critical,Email,5.62,False,4,True
TKT00032940,C05612,2024-08-26 09:37:00,2024-08-27 04:10:36.000000000,Account Management,Low,Chat,18.56,False,4,False
TKT00102045,C17709,2025-02-11 09:53:00,2025-02-13 03:09:12.000000000,Performance,Medium,Email,41.27,False,4,False
TKT00085480,C14780,2025-04-27 13:41:00,2025-04-28 04:02:36.000000000,Technical Issue,High,Email,14.36,False,4,True
TKT00012884,C02146,2025-10-02 18:54:00,2025-10-03 10:15:36.000000000,Product Bug,High,Email,15.36,True,3,False
TKT00054744,C09438,2025-09-12 15:08:00,2025-09-15 02:06:12.000000000,Technical Issue,Low,Email,58.97,False,4,False
TKT00090826,C15715,2025-01-22 15:32:00,2025-01-23 12:48:12.000000000,Technical Issue,High,Email,21.27,False,4,False
TKT00015895,C02688,2025-03-14 17:50:00,2025-03-18 12:33:48.000000000,Technical Issue,Low,Phone,90.73,False,3,False
TKT00018540,C03150,2024-08-22 16:18:00,2024-08-24 17:11:24.000000000,Technical Issue,Low,Chat,48.89,False,4,False
TKT00075844,C13109,2024-08-20 09:38:00,2024-08-20 14:53:36.000000000,Technical Issue,Critical,Chat,5.26,False,4,False
TKT00042028,C07235,2024-04-04 13:24:00,2024-04-04 17:17:24.000000000,Technical Issue,Critical,Email,3.89,False,4,True
TKT00062414,C10801,2024-07-13 09:52:00,2024-07-14 03:35:48.000000000,Integration,High,Support Portal,17.73,True,4,False
TKT00103934,C18014,2025-09-09 12:54:00,2025-09-11 21:56:24.000000000,Product Bug,Low,Support Portal,57.04,False,3,False
TKT00033036,C05624,2025-08-03 08:39:00,2025-08-03 18:27:00.000000000,Integration,Critical,Support Portal,9.8,False,4,False
TKT00025389,C04292,2024-03-23 13:39:00,2024-03-25 05:02:24.000000000,Technical Issue,Medium,Support Portal,39.39,False,3,False
TKT00112169,C19556,2025-11-20 14:14:00,2025-11-22 06:31:24.000000000,Performance,Medium,Chat,40.29,False,5,False
TKT00026028,C04395,2025-04-30 15:12:00,2025-05-01 15:55:12.000000000,Billing,Low,Chat,24.72,False,5,False
TKT00108036,C18827,2024-11-07 16:40:00,2024-11-09 18:37:36.000000000,Integration,Medium,Email,49.96,False,3,False
TKT00053591,C09231,2025-11-03 13:10:00,2025-11-04 00:24:24.000000000,Training / Onboarding,High,Support Portal,11.24,False,5,False
TKT00031394,C05356,2025-02-22 16:42:00,2025-02-23 01:37:12.000000000,Product Bug,High,Support Portal,8.92,False,4,False
TKT00052936,C09132,2025-12-16 09:49:00,2025-12-18 10:44:12.000000000,Integration,Medium,Email,48.92,False,4,False
TKT00079478,C13813,2025-07-02 09:43:00,2025-07-02 21:41:12.000000000,Billing,Medium,Chat,11.97,False,4,False
TKT00036863,C06286,2025-08-14 17:44:00,2025-08-15 10:37:59.999999999,Technical Issue,High,Chat,16.9,False,4,False
TKT00062044,C10753,2024-11-26 15:46:00,2024-11-28 15:29:48.000000000,Training / Onboarding,Medium,Chat,47.73,False,4,False
TKT00069706,C12014,2025-06-16 17:32:00,2025-06-18 12:21:12.000000000,Performance,Medium,Phone,42.82,False,3,False
TKT00044878,C07756,2025-12-07 10:01:00,2025-12-08 18:54:24.000000000,Technical Issue,Medium,Email,32.89,True,3,False
TKT00088277,C15270,2024-12-24 09:45:00,2024-12-26 00:42:36.000000000,Technical Issue,Medium,Support Portal,38.96,True,4,False
