customer_id,week_start,active_users,sessions,active_days,usage_minutes,features_used,p001_sessions,p002_sessions,p003_sessions,p004_sessions,p005_sessions
C17333,2025-01-20,0,0,0,0,0,0,0,0,0,0
C16212,2023-09-18,0,0,0,0,0,0,0,0,0,0
C01333,2025-11-10,27,157,6,2894,2,107,0,50,0,0
C17810,2024-05-06,0,0,0,0,0,0,0,0,0,0
C13393,2024-02-26,0,0,0,0,0,0,0,0,0,0
C03390,2023-05-08,0,0,0,0,0,0,0,0,0,0
C08715,2023-08-14,0,0,0,0,0,0,0,0,0,0
C01203,2024-05-27,0,0,0,0,0,0,0,0,0,0
C02385,2024-09-23,0,0,0,0,0,0,0,0,0,0
C06728,2024-11-11,0,0,0,0,0,0,0,0,0,0
C17932,2023-01-23,0,0,0,0,0,0,0,0,0,0
C14676,2025-06-02,0,0,0,0,0,0,0,0,0,0
C13881,2024-12-09,0,0,0,0,0,0,0,0,0,0
C07118,2025-03-24,356,2118,4,39867,3,1264,0,0,498,356
C12406,2025-03-17,0,0,0,0,0,0,0,0,0,0
C12941,2023-09-18,0,0,0,0,0,0,0,0,0,0
C09785,2025-11-03,7,46,7,859,2,35,11,0,0,0
C04001,2025-02-03,0,0,0,0,0,0,0,0,0,0
C02934,2023-05-29,0,0,0,0,0,0,0,0,0,0
C10575,2025-10-27,0,0,0,0,0,0,0,0,0,0
C18854,2023-01-30,0,0,0,0,0,0,0,0,0,0
C00633,2023-10-30,0,0,0,0,0,0,0,0,0,0
C15167,2023-10-30,0,0,0,0,0,0,0,0,0,0
C02641,2025-09-08,521,2301,7,51371,2,1812,0,0,0,489
C18244,2025-04-21,0,0,0,0,0,0,0,0,0,0
C11867,2025-08-18,37,141,5,2572,1,141,0,0,0,0
C19214,2025-12-22,0,0,0,0,0,0,0,0,0,0
C07953,2024-02-12,0,0,0,0,0,0,0,0,0,0
C00720,2025-06-09,180,1412,7,29183,5,522,239,315,191,145
C14440,2024-10-21,0,0,0,0,0,0,0,0,0,0
C00419,2025-10-06,0,0,0,0,0,0,0,0,0,0
C15020,2023-05-15,0,0,0,0,0,0,0,0,0,0
C13690,2023-07-10,0,0,0,0,0,0,0,0,0,0
C10611,2024-09-09,0,0,0,0,0,0,0,0,0,0
C18869,2023-04-03,0,0,0,0,0,0,0,0,0,0
C15871,2023-02-06,0,0,0,0,0,0,0,0,0,0
C19888,2023-01-02,0,0,0,0,0,0,0,0,0,0
C12956,2024-03-18,0,0,0,0,0,0,0,0,0,0
C19996,2025-07-28,0,0,0,0,0,0,0,0,0,0
C02921,2024-04-01,0,0,0,0,0,0,0,0,0,0
C16500,2023-01-16,0,0,0,0,0,0,0,0,0,0
C18619,2024-04-01,0,0,0,0,0,0,0,0,0,0
C10887,2023-01-02,0,0,0,0,0,0,0,0,0,0
C15376,2024-03-04,0,0,0,0,0,0,0,0,0,0
C17140,2023-08-14,0,0,0,0,0,0,0,0,0,0
C14487,2024-10-14,13,50,4,847,1,50,0,0,0,0
C00837,2025-10-13,44,184,6,3717,2,143,0,0,41,0
C13193,2025-10-20,0,0,0,0,0,0,0,0,0,0
C08030,2024-02-26,0,0,0,0,0,0,0,0,0,0
C04257,2025-11-24,3,14,4,247,2,11,3,0,0,0
C02087,2024-11-11,0,0,0,0,0,0,0,0,0,0
C07728,2025-10-20,12,24,3,362,1,24,0,0,0,0
C10658,2023-10-09,0,0,0,0,0,0,0,0,0,0
C02668,2023-02-06,0,0,0,0,0,0,0,0,0,0
C08929,2023-07-24,0,0,0,0,0,0,0,0,0,0
C15157,2024-04-01,0,0,0,0,0,0,0,0,0,0
C14103,2023-03-06,0,0,0,0,0,0,0,0,0,0
C11308,2025-05-05,2037,18658,7,346647,5,7168,3329,3589,2571,2001
C13033,2023-10-30,0,0,0,0,0,0,0,0,0,0
C18197,2023-10-30,0,0,0,0,0,0,0,0,0,0
C11694,2023-08-14,0,0,0,0,0,0,0,0,0,0
